"Type"	"PLOD2"	"TIMP1"	"HLA-DRA"	"FN1"	"ANXA1"	"HLA-DPB1"	"VIM"	"LGALS1"	"HMOX1"	"C1S"	"P4HA1"	"VEGFA"	"IGFBP3"	"CCND1"	"HPCAL1"	"LIPA"	"ARHGDIB"	"PFKP"	"GPNMB"	"PLIN2"	"RARRES2"	"MYOF"
"Normal"	10.3039941776448	10.9142161349733	10.8716880955499	13.2788632780774	14.4070227284871	13.0235267454129	16.9047710581616	16.045526489768	11.722676203806	12.5425940256926	12.1220457055412	10.039136895037	11.2756707145598	8.04965749248673	13.0882760902843	11.752871356186	15.1075214737505	12.8989176836151	13.808149634092	9.92163353770442	9.44546845286182	12.2869855366433
"Normal"	9.8466326929698	12.039329639482	11.7370828539332	13.9494958408213	14.8203043444546	14.6308389237039	17.088810119396	16.5306339222088	12.6249308103948	10.8831826684699	12.1108417397865	10.5452274893075	11.9359325538876	6.46110389838379	13.5600177977196	11.2802715306583	15.483118639217	11.605656466996	11.9947684147332	10.1588072321561	9.23757870924804	12.3975305976116
"Normal"	11.3813483578824	13.3236986949812	13.7800847465668	14.8663246340733	16.6635006717253	15.6515725553936	18.0746484473667	17.4978513230634	14.3165451586751	13.4006709176575	13.3664618142956	10.2353961801398	11.2478418040626	7.15314786821501	13.4072936702429	13.3951201114247	17.6324598833719	13.1152442073841	14.2049094430692	12.6302817508603	9.7608715816894	13.5899246495508
"Normal"	9.33536988729185	10.2421180742034	12.0613661083499	13.7530706873189	14.7146571684938	15.3197878845659	17.1623469590773	16.5023883388626	13.2577541904992	12.6879493989668	11.9973623669285	9.52875291441433	11.6509366739523	7.30862131852186	13.7191065106746	12.2219584794244	15.3579306470911	11.8593456258978	13.0583363302639	10.8384694917764	10.5668197139583	11.9567229472963
"Normal"	9.15296332967172	12.2448493908434	12.3309476826941	14.2305021734626	14.4688864506286	15.3734034678398	17.1748678252882	16.8166748566631	13.251584582188	12.0485299298765	12.0677093713243	10.6763199527064	11.9955850750339	7.86445501763232	14.258297170502	12.0569872734718	15.4806850143171	12.0068091966042	13.5335591533867	10.6143318910271	10.8133422582808	11.2224540678644
"Normal"	8.96890896613747	12.2922453548	12.2841056234911	13.6283278951741	15.4584528704815	15.8805942157492	17.5069387750243	16.787801129336	13.0643518076378	12.2523033222913	11.9919612044278	10.1290494636001	11.8483531028719	6.13641162971769	14.1167511379076	11.9716338362574	16.1458326868972	11.957735720109	13.3139252245722	9.62934278687934	10.6545453762051	12.4894289193342
"Normal"	10.2269485657263	14.4728944179689	13.5887453547484	13.8250953918518	16.1698356914569	16.5882516048865	18.4487197776314	17.7949774872793	13.5916369220436	12.01026979078	12.7544671869721	10.5652614338037	11.8320617595805	8.6618907992206	14.3925420992192	12.2012182413418	16.709203860642	12.4307277680285	13.1997794008006	10.6491389078868	11.2353510990414	12.9331911642762
"Normal"	9.97505970891017	12.4553689407897	11.6785444575377	15.7624073358036	15.6823760396495	14.5770371863908	17.7673270820654	17.0913920810328	13.4260024188906	11.9923414332298	12.2921559269604	10.3297325783519	12.0429726615366	7.47473805860257	13.0195616392348	12.0822353397015	16.1861756254895	12.9496796418683	13.4657317486568	10.2677565754796	10.2299164264089	12.7803026819434
"Normal"	8.50823825968882	11.9650663510076	11.9221356366993	13.3114254518018	14.4557512339616	13.8904762486719	16.795051467345	16.7398468393459	12.8655895515559	9.04563032676941	11.8916199913771	10.0985527500574	11.8667997894029	7.61204707541305	13.9846312966883	11.5615957015598	15.355927000992	10.8951619637926	12.5668336845607	9.98332062974411	10.0918771827381	11.632348223906
"Normal"	10.8971066801469	12.9762882362754	14.5852406642539	15.1999055934478	16.7146195830411	16.7775736528056	19.1141394295869	17.9555277046636	14.4264373171971	14.2250961610133	13.1100688137166	12.2595759427468	13.0802872684284	8.49285309585271	15.1297263282708	12.903998314393	17.3182498923844	14.2455539432193	14.3163386946911	12.6411600068189	11.6307312622492	13.9655699255102
"Normal"	10.2121182935395	11.4265493656498	13.5443609225945	14.806886356079	15.72246712038	15.4900343634046	18.2775933210389	17.5805374729061	13.7613056810341	13.0944359324934	12.6227179159405	11.1837448873686	12.3535342644242	7.89422659447463	14.7907114078259	12.5311913106649	16.448413948449	12.434753512619	14.7811549819127	10.5592850725979	11.2309653342413	12.0731223603519
"Normal"	9.91810775046574	10.7378501544366	11.1573317775877	14.5519734137114	15.1570611088342	14.8081161516414	17.5913985550974	16.8368259372632	11.1438137168626	13.2762006738224	11.4172084074495	8.85291166197304	11.4472113146666	7.44974827905724	13.0846555966322	11.3979538965687	15.5950818257271	13.0027294654734	14.2214872202265	9.61210742254316	10.3409407515476	12.4788984766658
"Normal"	10.8820919533083	13.2588495438341	13.7912123687735	14.7446667972212	16.6935697950682	16.0449180367022	19.1406288129764	18.2458395647452	14.6429517782325	13.9866775709448	13.6470405756859	12.02429419368	12.7451928387082	7.86225223126211	15.3480782133629	12.9976604540765	17.5782992946522	13.7002770493739	13.9995841323121	13.0537753476155	12.5652922139081	13.2668298597513
"Normal"	9.26959313387488	12.2325653648239	12.5377851243061	13.962881653021	15.8708655742513	15.8957529699683	18.364700548406	17.6047086976458	12.9879239953031	12.8334223974725	12.1583690000347	10.8089359985178	12.5848339868352	7.50682969755342	14.3022358041275	12.0786660722289	16.5360063361817	12.2407710205752	13.4016574918216	10.8028599861279	10.4625374319928	12.0847133106573
"Normal"	11.3304905276853	13.2464653689579	14.33305857394	15.0397456100391	16.9345666186611	14.9951139117562	19.3573121445712	18.3680966131419	14.4308551983419	14.7237009893704	13.6708238987382	12.110940575511	14.0125069948755	8.87119631166968	14.7163384575473	13.2729868913971	17.6997816183083	14.2699981591632	14.588227989215	11.8000235309985	11.9462664617847	13.9136374977585
"Normal"	11.1698297270822	11.0713365666669	12.3168608571442	13.6954525328579	15.4553857769081	14.0660390086125	18.1377503538573	17.3894807785156	6.9897701884654	12.831394302424	12.6375838013797	10.4311161923155	12.6365550631767	7.65669002506838	13.191632959918	11.8329764498513	15.4861071126595	13.1834972256208	13.5598362685303	10.4689142104035	10.4419044189116	12.3238591150041
"Normal"	10.6326046784188	13.1737135694222	12.9223834278881	14.835578881938	16.0530254114622	16.3377712665528	18.1248863951361	17.3220923375559	13.0923577091071	12.6990112102212	12.2979532180237	10.7789570421535	11.5641599219166	8.5626858890967	13.6643444839623	12.4698989596776	16.6925153644552	13.559952529756	13.0920219410518	10.1977515236397	11.185143265541	13.3174718457245
"Normal"	9.87548664593507	10.0861641657588	11.5442643557759	13.7863702017781	14.4358888441275	15.296204501953	17.2239619067446	16.3815752608116	9.9955207358734	12.2864074785477	11.4755875452111	9.28454817613386	11.6831345413021	7.0940494077975	12.3726999919969	10.9446450553813	15.2483372895498	12.5688771740634	14.9514830178473	9.35754101257164	10.250036669289	12.0329086351303
"Normal"	9.13451958076581	10.6740562373996	11.6306041737759	13.6988343696906	14.5799262630132	13.6952746139781	17.0076396473924	16.5265102761858	12.2551658171131	9.9764348023686	11.7791406918162	9.96243388493853	11.4757535807106	7.65725364762757	13.2501108355981	11.6592062228048	15.3602825360946	12.2151794923339	12.2547226507217	10.8699901669231	9.14871382592573	11.829639328923
"Normal"	10.0572757697072	10.1931455364038	11.6400821661091	13.7938401408971	14.4026082554376	15.0575084696301	16.7991025460538	15.9076601079074	7.10157239548747	12.8797216915927	11.5008662455432	9.12338227475534	11.6077088171671	6.26176242504021	12.1172902737243	11.2054368750705	15.0599952173219	12.7818009461569	14.0862372155656	9.4571936924504	8.92673640809491	12.4568387603131
"Normal"	9.53137697092767	12.4317803956183	12.3393823053398	13.4162145740394	14.7124650735889	15.6929736606385	17.3145653311712	17.0600004322472	12.8685566811815	11.3739175260748	11.8730257743014	10.2476461105462	11.1282543784908	7.08136928215039	13.6733396251833	11.5173263671336	15.6697382758103	11.4853466691994	12.8339492065312	9.85396832737088	10.2117706071012	11.8383674799562
"Normal"	9.36400799284124	12.6685630681686	12.7716851341199	13.4681185168034	16.3227493323564	15.6533615428848	18.4735675416467	17.1052629568452	11.4117147602274	12.666870577819	11.3643760216132	8.28659403656482	10.964591728745	6.10000829517999	12.3756924040766	12.8441282735358	17.3234607821391	11.9849580523009	14.7644634689087	10.120706116592	9.40091150262574	12.5345121994756
"Normal"	8.24378222320802	10.2496821699434	10.9932571907327	13.029569115508	14.1228146074204	14.8609534553213	16.6226556768711	16.1170515419486	12.085180807857	10.5955995537779	10.5038322206004	9.30918791141016	10.5815371542775	6.52578283816467	12.797060342436	10.8923528352633	14.9232867573685	10.8020647145447	13.1445960758931	10.6449582268305	9.0056131394023	11.0637761638009
"Normal"	10.8090226099061	11.3910030469566	11.3109028130611	14.1626143611804	14.4430693109295	13.875421085349	17.1628295442646	15.9555404205304	7.52500199341219	12.6160656781872	12.0364123759365	9.11288437251712	11.1567292977552	7.16889199929137	11.8985631401972	11.8990815024211	15.3610405730933	12.9846795705769	13.7216535593772	9.98832902442963	8.29491906858385	12.6699586789865
"Normal"	10.3831932102297	11.9439150498145	12.0886232763145	14.5705436874752	15.1127812545381	16.0628249418349	17.6885886910049	16.7453436272116	10.6992726221717	12.3840786799567	11.6265215426808	9.42153581085408	11.5356846143803	7.24008798480436	12.7703511760149	12.0305440886333	15.632440925479	12.7896928630644	14.5109546423078	10.0770695966332	9.7797398414954	12.2319565709357
"Normal"	8.96793513965106	12.1455596006969	10.4782156895944	13.4797287472786	13.7471458690768	15.1715546565637	16.6233752478311	16.3879569966423	12.2718727090979	10.371741158076	10.9311093846782	10.0683843594006	11.187633273182	7.38189175010738	12.8317662660961	11.2438811832618	15.2840723095718	11.6966951894978	12.8249218633703	10.6027302697394	9.67605941847744	11.0155719514419
"Normal"	8.19233923868991	11.5074877104549	11.479810084778	12.7633163593302	13.9458568672017	15.3366490501724	16.6203410724473	15.7557909205146	12.0802797537089	11.0311777800278	11.2632603005022	10.2269721930951	11.0335082406887	7.09047888404384	12.9263042741884	10.8759338355407	14.9990605326227	11.2352918227283	11.6652487290446	10.0196769283674	9.20633678806175	11.1847308448753
"Normal"	9.46777329784991	11.7053896255204	11.7889065305082	14.7567405571309	15.1520195073	14.8412717821017	17.792396952703	16.9775627727016	12.8019917217266	10.5222007153895	12.031496213384	10.8469481893739	11.8278446666124	7.82956036630519	13.6322793046044	11.9462018357562	15.560174570561	12.4359938774461	13.051577335532	10.2895432365987	10.3570043345473	12.813718804616
"Normal"	8.16221283906811	11.2442498218172	12.9021626784315	13.3398425046454	13.9070532203491	13.2809563495179	16.6055796247597	15.3694672338525	11.646347503318	10.4598777750063	10.6771153613051	9.23445980594927	10.2355863449488	5.90370781594616	12.4978978793194	10.7346240058014	14.8825226621815	11.7038075330869	11.5699611237142	8.63770046900335	8.70363591100856	11.2472386282264
"Normal"	7.98720723408666	10.1381689117663	12.07282217822	12.9497411716331	13.7844157156343	13.4481635652537	16.5480171535018	15.3866392607717	11.1869845771916	11.2900483960893	10.6880310539536	9.08247472638292	10.6761364900019	5.78806688778333	12.3881160503732	10.2009341384732	14.6190032289861	11.4733178725628	11.766297628804	8.64106900769434	9.61589802220559	10.8295962927101
"Normal"	8.22328184549687	10.9020786614887	12.653868333018	11.7854854479471	13.9362663093721	14.8444032217493	16.0145853310144	15.9914237999239	11.605061437233	10.7548672403934	11.0650555503841	9.93636857763072	10.6406901801302	4.11336907426481	12.6050455723564	10.6863979258261	15.1324048630767	10.7704169663423	11.7696400757763	9.30761746459684	9.66550348384055	9.89154362797704
"Normal"	8.68153191004104	11.7702105946987	13.62468600343	13.3969929660629	15.1097720524882	15.7377543992643	18.0952341591951	16.9485686301973	12.8895627612924	11.6821116786667	11.9838323745	10.4888921653672	11.8395601681359	6.53074935752415	14.1467749628356	11.4125192715104	15.9203299945928	11.6091658293075	12.8948433993263	10.3829640672433	10.9322114936857	10.8815020852748
